Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Make My Day,Make My Day Charging Optimization for Electric Vehicle Drivers and Fleets,2017,"B2B, B2B2C",11-50,A,$5.5M,", , , , , , , , , , , , , , , , , , , , , , enterprises, operations-optimization"
Ajinomatrix,Ajinomatrix I-Powered Sensory Data Solutions for the Food Industry,2018,"B2B, B2B2C, B2G",1-10,Pre-Seed,$900K,", , , , artificial-intelligence, inventory-management"
Droxi,Droxi AI-based Healthcare Productivity Tool,2021,B2B,11-50,A,$22.5M,", , , , , , , , , digital-healthcare, artificial-intelligence"
Vi Labs,Vi Labs AI as a Service for Digital Health Companies,2011,"B2B2C, B2C",201-500,A,$150.8M,", , , , , , , , , , , , , , , , , sports, mobile-applications"
JourneyZ,JourneyZ AI-powered platform helping B2B SaaS companies prevent churn and unlock expansion opportunities.,2022,B2B,11-50,Pre-Seed,Undisclosed,", , , , , artificial-intelligence, customer-retention"
Cordio Medical,Cordio Medical Medical Speech-processing Platform,2013,"B2B, B2C",11-50,C,$19.28M,", , , , , , , , , , , , , , , , , , , diagnostics, patient-care"
early,early AI Agent for test code generation,2023,B2B,11-50,Seed,$5M,", , software-testing, artificial-intelligence"
Aidoc,Aidoc Empowering Physicians to Improve Patient Outcomes with AI,2016,B2B,201-500,C,$263.5M,", , , , , , , , , , , , , , pulmonary, decision-support"
aiOla,aiOla Speech-AI Powered Workflows,2019,B2B,51-200,A,$33M,", , , , , , , , , , , , , , , , , , big-data, text-to-speech"
Airwayz Drones,Airwayz Drones Real-time Autonomous Management of Drones Ecosystems,2019,"B2B, B2G",11-50,A,Undisclosed,", web-platform, artificial-intelligence"
AKA FOODS,AKA FOODS AI POWERED NEW PRODUCT DEVELOPMENT,2021,B2B,11-50,Seed,$357K,", , deep-learning, artificial-intelligence, restaurants"
Andeavour,Andeavour Organizational Intelligence Platform,2023,B2B,11-50,Pre-Funding,Undisclosed,", cyber-security, hr-tech, compliance"
Antidote Health,Antidote Health Quality Health Insurance for Individuals and Families,2020,B2C,51-200,A,$56.5M,", , , , , , , , , , , , , , , , , , , , , , smb, patients, health-insurance"
ASTERRA,ASTERRA Satellite-Based Infrastructure Intelligence,2016,"B2B, B2G",51-200,Seed,$6M,", , , , , , , , , , , , , , , , , , machine-learning, homeland-security, dual-use"
Atidot,Atidot Advanced Data Analytics for Insurance,2016,B2B,11-50,B,$6.75M,", , , , , , , , , , saas, underwriting"
AudioCodes,AudioCodes PUBLIC Enterprise Voice & AI Solutions for Unified Communications & Collaboration and Customer Experience,1993,B2B,500+,Public,$133M,", , , , , , , , , , , , , , , , , , , , , , , , cloud-platform, voice-recognition, call-centers"
AutoFleet,AutoFleet ACQUIRED Optimization Platform for Fleets,2017,B2B,51-200,Acquired,$29.5M,", , , , , , , , fleet-management, autonomous-vehicles, logistics"
Autoto,Autoto AI-Powered Inventory Sourcing and Management Platform & Marketplace for SMB Used Vehicle Dealerships,2023,B2B,1-10,Pre-Seed,$312K,", , , , , , , , , crm, inventory-management"
