Name,Category,Based in,Tags,Founded
#SRNT Serenity,Latvia,Riga,"BigDATA, AI, ML, nonprofit, social, mobile",2022
#tide,Switzerland,Basel,"Switzerland, recycling, environment",2018
#walk15,Lithuania,Vilnius,"Health Care, Mobile Apps, Sustainability, Wellness",2019
&Charge,Germany,Frankfurt,"Advertising Platforms, Automotive, Big Data, Guides",2019
&Open,Ireland,Dublin,"CRM, Product Design, Software",2017
&Repeat,Sweden,Stockholm,"Apps, B2B, Hospitality, Recycling",2021
‘NA PIZZA NAPOLETANA SRL,Italy,MODENA,napizza,2021
(med)24,UK,London,"Health Care, Medical, Empowering",2018
(mont.agency),Denmark,Copenhagen,"marketing, subscription, content, agency",2021
(no title),Austria,,,
(no title),Austria,,,
(no title),Austria,,,
(no title),Austria,,,
(no title),Austria,,,
(no title),Austria,,,
(no title),Spain,Mallorca,job board directory,2022
(re)BALANCE,Italy,Milan,"Investments, Digital Service, Artificial Intelligence, Integration of Environmental Social and Governmental",2021
+Simple,France,Paris,"insurtech, insurance, app",2015
.Lumen,Romania,Cluj,"Research, AI, MedTech",2020
.work corporation,Estonia,Tallinn,"HR, Recruitment, Advertising, Marketing",2018
0-Mission,France,Copenhagen,"climate, green energy, solar parks",2022
01 Founders,UK,London,"AI, Blockchain, Cybersecurity, Gaming",2021
